lat,longt,alt,sx,sy,sz,phase,am
-2418256.04763297131285071,5385889.53592088911682367,2405624.41747709037736058,1550522.92042278451845050,25175070.06604974716901779,8026051.61984976101666689,0.42227000000002590,44.00027000000000044
-2418256.04763297131285071,5385889.53592088911682367,2405624.41747709037736058,-13652254.05128669366240501,14661266.66682368889451027,17719698.17994559556245804,0.71474000000000615,39.00025999999999726
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,1550000.44559756573289633,25176001.28774706274271011,8023151.16372202057391405,0.61026999999990039,46.00027000000000044
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,1549478.08582591032609344,25176932.17813130468130112,8020250.54085271805524826,0.66027000000008229,46.00027000000000044
-2418256.04763297131285071,5385889.53592088911682367,2405624.41747709037736058,11227454.21067368052899837,12268486.41608704812824726,21036439.00952721759676933,0.53420999999980268,12.00020999999999916
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,17585175.81547611206769943,20120939.33123760297894478,1839786.98617465072311461,0.59621999999990294,15.00022000000000055
-2418256.04763297131285071,5385889.53592088911682367,2405624.41747709037736058,-15074520.77550616301596165,7741288.47055585868656635,20552774.41490984335541725,0.48377000000004955,23.00022999999999840
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,3182102.32156678102910519,15320131.17511410452425480,21495997.16943949088454247,0.74521999999979016,15.00022000000000055
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,-15074390.93861347064375877,7736061.97841551434248686,20555093.02148706838488579,0.41475999999988744,24.00024000000000157
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,10540207.60694237425923347,21386093.96804328262805939,11904736.24793057888746262,0.55324999999993452,35.00025000000000119
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,-20842517.72569835558533669,-1276962.38100325060077012,16545385.26894516497850418,0.77374999999994998,31.00025000000000119
-2418256.04763297131285071,5385889.53592088911682367,2405624.41747709037736058,-6587547.25736836530268192,25252941.91688911244273186,-2826891.34176909225061536,0.20274000000000569,41.00025999999999726
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,-6587803.99900042638182640,25252465.11381765082478523,-2830015.81369235552847385,0.23174000000000206,41.00025999999999726
-2418256.04763297131285071,5385889.53592088911682367,2405624.41747709037736058,-20839391.66569972783327103,-1274041.61196334823034704,16549427.91886148601770401,0.14476000000001932,25.00024000000000157
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,-20840954.75614648312330246,-1275502.11992371152155101,16547406.77131504938006401,0.76774999999997817,30.00025000000000119
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,-13652206.81095897406339645,14656835.82372404448688030,17723573.46741661429405212,0.02674999999999272,33.00025000000000119
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,11224940.47527264989912510,12269245.68244905583560467,21037385.80613498762249947,0.27221999999983382,14.00022000000000055
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,17584826.26588926091790199,20120928.48462489992380142,1842952.40339882974512875,0.39321999999992840,15.00022000000000055
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,3179495.46231692703440785,15320971.84993638657033443,21495760.10987005755305290,0.65522000000009939,16.00021999999999878
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,-6588060.69247334823012352,25251987.94062337651848793,-2833140.20918200304731727,0.69472999999999274,44.00027000000000044
-2418256.04763297131285071,5385889.53592088911682367,2405624.41747709037736058,10541442.49925022199749947,21386933.13474194705486298,11902021.77068158052861691,0.08424999999988358,35.00025000000000119
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,-22131412.77337665483355522,12813434.22702339105308056,-7120725.62055823300033808,0.43424000000004526,26.00024000000000157
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,-22132312.75917081907391548,12813543.92669276893138885,-7117649.23146483860909939,0.66123999999990701,25.00024000000000157
-2418256.04763297131285071,5385889.53592088911682367,2405624.41747709037736058,-22130512.41376696527004242,12813324.45395133271813393,-7123801.86016659159213305,0.47724000000016531,27.00024000000000157
-2418256.04763297131285071,5385889.53592088911682367,2405624.41747709037736058,17585525.08681162074208260,20120949.91394144669175148,1836621.53193629160523415,0.39622000000008484,15.00022000000000055
-2418256.04763297131285071,5385889.53592088911682367,2405624.41747709037736058,3184709.25396881438791752,15319290.63451128825545311,21496233.77021199464797974,0.08123999999997977,27.00024000000000157
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,-15074455.78949374146759510,7738675.29765238706022501,20553933.93995496258139610,0.18175999999994019,25.00024000000000157
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,-13652230.37872766889631748,14659051.36482593975961208,17721636.01244482398033142,0.43773999999996249,38.00025999999999726
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,10538972.41968933492898941,21385254.63644887506961823,11907450.47227063775062561,0.55425000000013824,35.00025000000000119
-2418263.97682695835828781,5385893.05221947468817234,2405636.19690364180132747,11222426.67579030245542526,12270005.12138254009187222,21038332.15906129777431488,0.61821000000009008,12.00020999999999916
